摘要,事务密钥,事务ID,事务类型,状态,项目键,项目名称,项目类型,项目负责人,项目主管 ID,项目描述,优先级,解决方案,经办人,经办人 ID,报告人,报告人 ID,创建者,创建者 ID,已创建,已更新,最近查看过的,已解决,截止日期,表决,标签,描述,环境,管理关注列表,管理关注列表,管理关注列表,关注者 ID,关注者 ID,关注者 ID,登记工作日志,登记工作日志,原始预估,剩余估计量,所用时间,工作量比率,初始预估时间总计,Σ 剩余估计量,总耗费时间,安全级别,附件,附件,附件,附件,附件,附件,自定义字段 (Actual Result),自定义字段 (Affected Version),自定义字段 (Affected services),自定义字段 (Affects Versions),自定义字段 (Approvals),自定义字段 (Asset type),自定义字段 (Atlassian 项目),自定义字段 (Atlassian 项目状态),自定义字段 (BOM Name),自定义字段 (BOM name and version),自定义字段 (Bug Fix Point),自定义字段 (Category),自定义字段 (Client),自定义字段 (Customer Name),自定义字段 (Design Completion Date),自定义字段 (Device),自定义字段 (End Date),自定义字段 (Epic Color),自定义字段 (Epic Name),自定义字段 (Epic Status),自定义字段 (Expected Due Date),自定义字段 (Expected Result),自定义字段 (Feasibility Completion Date),自定义字段 (Fix Versions),自定义字段 (Issue color),自定义字段 (Locked forms),自定义字段 (Open forms),自定义字段 (Pain Point ),自定义字段 (Priority),自定义字段 (Prod Approved By),自定义字段 (Production Completion Date),自定义字段 (Production Only),自定义字段 (Production Status),自定义字段 (Project),自定义字段 (Project overview key),自定义字段 (Project overview status),自定义字段 (R&D completion time),自定义字段 (Rank),自定义字段 (Reference),自定义字段 (Reproduction),自定义字段 (Request Type),自定义字段 (Request language),自定义字段 (Request participants),自定义字段 (Resolution),自定义字段 (Resolver),自定义字段 (Resolver),自定义字段 (Resolver)ID,自定义字段 (Resolver),满意度评级,自定义字段 (Satisfaction date),自定义字段 (Scheduled Completion Date),自定义字段 (Sentiment),自定义字段 (Solution),自定义字段 (Solution Approach),自定义字段 (Staging Approved By),自定义字段 (Staging Completion Date),自定义字段 (Staging Status),自定义字段 (Start date),自定义字段 (Story Points),自定义字段 (Story point estimate),自定义字段 (Story point estimate),自定义字段 (Story point estimate),自定义字段 (Submitted forms),自定义字段 (Tag),自定义字段 (Target Completion Date),自定义字段 (Target Timeline),自定义字段 (Target end),自定义字段 (Target start),自定义字段 (Task Point),自定义字段 (Task Point),自定义字段 (Task Point),自定义字段 (Team),自定义字段 (Time to first response),自定义字段 (Time to resolution),自定义字段 (Total forms),自定义字段 (Trade Show Date),自定义字段 (Version),自定义字段 (Version Type),自定义字段 (Vulnerability),自定义字段 (Workflow Needed),自定义字段 ([CHART] Date of First Response),自定义字段 ([CHART] Time in Status),自定义字段 (development),自定义字段 (交付状态),自定义字段 (交付进度),自定义字段 (产品需求状态),自定义字段 (产品需求状态),自定义字段 (产品需求状态),自定义字段 (优先级),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (修复版本),自定义字段 (值),自定义字段 (工作类别),自定义字段 (工作量),自定义字段 (已链接的项目),自定义字段 (影响),自定义字段 (影响分数),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (影响版本),自定义字段 (微软),自定义字段 (想法已归档),自定义字段 (想法归档时间),自定义字段 (想法的简短描述),自定义字段 (截至日期),自定义字段 (报告人),自定义字段 (报告人)ID,自定义字段 (提测时间),自定义字段 (文档),自定义字段 (时间跟踪),自定义字段 (时间跟踪),自定义字段 (洞察信息),自定义字段 (环境),自定义字段 (环境),自定义字段 (环境),自定义字段 (目标),自定义字段 (类别),自定义字段 (置信度),自定义字段 (规格准备就绪),自定义字段 (设计准备就绪),自定义字段 (评论),自定义字段 (路线图),自定义字段 (重点领域),自定义字段 (项目),自定义字段 (项目开始),自定义字段 (项目目标),自定义字段 (预算),评论,评论,评论,评论,评论,父项,父项关键字,Parent summary,状态类别,状态类别已更改
调试连接功能以及升级功能,DC320-67,41116,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Jingsheng Wu,712020:504b1da7-598d-4414-bfa4-b6ed3cdccd90,Daiwei Luo,712020:5b98b0b4-dfca-4778-8cd6-880ab39c6746,Daiwei Luo,712020:5b98b0b4-dfca-4778-8cd6-880ab39c6746,15/九月/25 3:21 上午,22/十月/25 4:59 上午,,22/十月/25 4:59 上午,22/十月/25 12:00 上午,0,,,,Daiwei Luo,Jingsheng Wu,,712020:5b98b0b4-dfca-4778-8cd6-880ab39c6746,712020:504b1da7-598d-4414-bfa4-b6ed3cdccd90,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@32b1a211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033q3:,,,,,,,,,,,,,,,,,,,,20/十月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,2025-10-20 01:12:37.101,11679_*:*_1_*:*_3001501930_*|*_11680_*:*_1_*:*_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/十月/25 9:12 下午;712020:504b1da7-598d-4414-bfa4-b6ed3cdccd90;本项任务由于硬件还未提供，后续处理,22/十月/25 4:59 上午;712020:504b1da7-598d-4414-bfa4-b6ed3cdccd90;已开发完成，等待硬件调试,,,,36685,DC320-33,上位机,完成,22/十月/25 4:59 上午
建立软件项目并移植 DC300 软件代码,DC320-34,36686,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Jingsheng Wu,712020:504b1da7-598d-4414-bfa4-b6ed3cdccd90,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 3:12 上午,16/十月/25 9:45 下午,,16/十月/25 9:44 下午,17/十月/25 12:00 上午,0,,,,Jingsheng Wu,Yanwen Wang,,712020:504b1da7-598d-4414-bfa4-b6ed3cdccd90,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@c40c254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033q7:,,,,,,,,,,,,,,,,,,,,13/十月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,2025-10-15 06:23:50.05,11679_*:*_1_*:*_10883088821_*|*_11680_*:*_1_*:*_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15/十月/25 2:23 上午;712020:504b1da7-598d-4414-bfa4-b6ed3cdccd90;进度：已完成移植软件代码301，通过软件代码可链接301设备

正在进行：排查代码遗漏",16/十月/25 9:45 下午;712020:504b1da7-598d-4414-bfa4-b6ed3cdccd90;软件代码已经移植完成，遗漏代码排查完毕,,,,36685,DC320-33,上位机,完成,16/十月/25 9:44 下午
修改测试问题，发布最终版软件,DC320-35,36687,子任务,CREATED已创建,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,,Jingsheng Wu,712020:504b1da7-598d-4414-bfa4-b6ed3cdccd90,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 3:13 上午,24/十一月/25 10:25 下午,,,28/十一月/25 12:00 上午,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@fd189e2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033qf:,,,,,,,,,,,,,,,,,,,,03/十一月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36685,DC320-33,上位机,待办,10/六月/25 3:13 上午
全系统测试 Testing,DC320-36,36688,任务,CREATED已创建,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,,Renjie Jiao,712020:c9594b01-54b4-40f5-a40e-789f1adda839,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 3:17 上午,20/十一月/25 7:59 下午,,,24/十二月/25 12:00 上午,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5b392f5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033qn:,,,,,,,,,,,,,,,,,,,,03/十一月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,待办,10/六月/25 3:17 上午
认证 Certification,DC320-19,36615,长篇故事,CREATED已创建,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,,,,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 2:12 上午,15/九月/25 5:13 上午,,,10/四月/26 12:00 上午,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@184f45a6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033qr:,,,,,,,,,,,,,,,,,,,,14/十一月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,待办,10/六月/25 2:12 上午
测试需求分析(新需求&继承需求),DC320-37,36689,子任务,CREATED已创建,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,,Congsong Liu,712020:e1009fed-6031-417b-9243-23e46c43b749,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 3:18 上午,20/十一月/25 7:59 下午,,,13/十一月/25 12:00 上午,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5d5a7e34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033qv:,,,,,,,,,,,,,,,,,,,,03/十一月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36688,DC320-36,全系统测试 Testing,待办,10/六月/25 3:18 上午
测试方案适配及输出,DC320-38,36690,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Congsong Liu,712020:e1009fed-6031-417b-9243-23e46c43b749,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 3:18 上午,20/十一月/25 7:58 下午,,20/十一月/25 7:58 下午,13/十一月/25 12:00 上午,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2bc1f8c5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033r3:,,,,,,,,,,,,,,,,,,,,03/十一月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,11679_*:*_1_*:*_14146832221_*|*_11681_*:*_1_*:*_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36688,DC320-36,全系统测试 Testing,完成,20/十一月/25 7:58 下午
测试用例适配及新用例输出(预计用例规模450条),DC320-39,36691,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Congsong Liu,712020:e1009fed-6031-417b-9243-23e46c43b749,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 3:18 上午,20/十一月/25 7:58 下午,,20/十一月/25 7:58 下午,13/十一月/25 12:00 上午,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@a833d35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033rb:,,,,,,,,,,,,,,,,,,,,03/十一月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,11679_*:*_1_*:*_14146826143_*|*_11681_*:*_1_*:*_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36688,DC320-36,全系统测试 Testing,完成,20/十一月/25 7:58 下午
用例及测试方案评审,DC320-40,36692,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Congsong Liu,712020:e1009fed-6031-417b-9243-23e46c43b749,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 3:18 上午,20/十一月/25 7:58 下午,,20/十一月/25 7:58 下午,13/十一月/25 12:00 上午,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6c3f340b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033rj:,,,,,,,,,,,,,,,,,,,,03/十一月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,11679_*:*_1_*:*_14146821412_*|*_11681_*:*_1_*:*_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36688,DC320-36,全系统测试 Testing,完成,20/十一月/25 7:58 下午
精度测量自动化脚本适配及调试,DC320-41,36693,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Congsong Liu,712020:e1009fed-6031-417b-9243-23e46c43b749,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 3:18 上午,20/十一月/25 7:58 下午,,20/十一月/25 7:58 下午,13/十一月/25 12:00 上午,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3b9dacc4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033rr:,,,,,,,,,,,,,,,,,,,,03/十一月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,11679_*:*_1_*:*_14146814480_*|*_11681_*:*_1_*:*_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36688,DC320-36,全系统测试 Testing,完成,20/十一月/25 7:58 下午
首个全功版本测试(450条),DC320-42,36694,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Renjie Jiao,712020:c9594b01-54b4-40f5-a40e-789f1adda839,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 3:18 上午,16/十二月/25 7:38 下午,,16/十二月/25 7:38 下午,21/十一月/25 12:00 上午,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4f1eb94a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033rz:,,,,,,,,,,,,,,,,,,,,17/十二月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,11679_*:*_1_*:*_16392017577_*|*_11681_*:*_1_*:*_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36688,DC320-36,全系统测试 Testing,完成,16/十二月/25 7:38 下午
首个全功版本测试(450条)+问题单回归测试,DC320-43,36695,子任务,CREATED已创建,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,,Renjie Jiao,712020:c9594b01-54b4-40f5-a40e-789f1adda839,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 3:18 上午,20/十一月/25 7:59 下午,,,28/十一月/25 12:00 上午,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@647fd6fc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033s7:,,,,,,,,,,,,,,,,,,,,24/十一月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36688,DC320-36,全系统测试 Testing,待办,10/六月/25 3:18 上午
基本功能版本测试+问题单回归测试,DC320-44,36696,子任务,CREATED已创建,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,,Renjie Jiao,712020:c9594b01-54b4-40f5-a40e-789f1adda839,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 3:18 上午,20/十一月/25 7:59 下午,,,10/十二月/25 12:00 上午,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6da75a56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033sf:,,,,,,,,,,,,,,,,,,,,01/十二月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36688,DC320-36,全系统测试 Testing,待办,10/六月/25 3:18 上午
首个全功版本测试(450条)+问题单回归测试,DC320-45,36697,子任务,CREATED已创建,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,,Renjie Jiao,712020:c9594b01-54b4-40f5-a40e-789f1adda839,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 3:18 上午,20/十一月/25 7:59 下午,,,17/十二月/25 12:00 上午,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1a862990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033sn:,,,,,,,,,,,,,,,,,,,,11/十二月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36688,DC320-36,全系统测试 Testing,待办,10/六月/25 3:18 上午
基本功能版本测试+问题单回归测试,DC320-46,36698,子任务,CREATED已创建,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,,Renjie Jiao,712020:c9594b01-54b4-40f5-a40e-789f1adda839,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 3:18 上午,20/十一月/25 7:59 下午,,,24/十二月/25 12:00 上午,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@46143f6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033sv:,,,,,,,,,,,,,,,,,,,,18/十二月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36688,DC320-36,全系统测试 Testing,待办,10/六月/25 3:18 上午
结项 Project completion,DC320-47,36699,长篇故事,CREATED已创建,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 3:26 上午,15/九月/25 5:13 上午,,,17/四月/26 12:00 上午,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@59de64b0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033t3:,,,,,,,,,,,,,,,,,,,,10/四月/26 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,待办,10/六月/25 3:26 上午
项目结项资料,DC320-48,36700,任务,CREATED已创建,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 3:26 上午,14/九月/25 11:11 下午,,,30/一月/26 12:00 上午,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@9464291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033tb:,,,,,,,,,,,,,,,,,,,,26/一月/26 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36699,DC320-47,结项 Project completion,待办,10/六月/25 3:26 上午
转产评审,DC320-49,36701,任务,CREATED已创建,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 3:26 上午,14/九月/25 11:11 下午,,,04/二月/26 12:00 上午,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5b55387a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033tj:,,,,,,,,,,,,,,,,,,,,02/二月/26 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36699,DC320-47,结项 Project completion,待办,10/六月/25 3:27 上午
项目结项会议,DC320-50,36702,任务,CREATED已创建,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,10/六月/25 3:27 上午,14/九月/25 11:11 下午,,,05/二月/26 12:00 上午,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4fec2cbb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i033tr:,,,,,,,,,,,,,,,,,,,,05/二月/26 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36699,DC320-47,结项 Project completion,待办,10/六月/25 3:27 上午
需求分析,DC320-51,36808,子任务,CLOSED已关闭,DC320,AcuDC-320,business,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,,Medium,完成,Gift Wang,6319068fea661fd37d508095,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,Yanwen Wang,712020:8b826984-d86c-4a33-a641-251511cda1da,11/六月/25 8:36 下午,09/十月/25 3:59 上午,,09/十月/25 3:59 上午,19/九月/25 12:00 上午,0,,,,Yanwen Wang,,,712020:8b826984-d86c-4a33-a641-251511cda1da,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3d7d3b87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i034f3:,,,,,,,,,,,,,,,,,,,,15/九月/25 12:00 上午,,,,,,,,,,,,,,,,,,,,,,,,11679_*:*_1_*:*_8228928518_*|*_11680_*:*_1_*:*_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36607,DC320-17,结构设计 Structural design,完成,09/十月/25 3:59 上午
